,time,jogo,ouro,abates,tempo,torres,inibidores,barons,dragons,arautos,top,jg,mid,adc,sup,lado
0,DWG KIA,1,59.1,18,29.41,11,2,1,3,2,Graves,Trundle,LeBlanc,Miss Fortune,Yuumi,0
1,FunPlus Phoenix,0,44.1,2,29.41,2,0,0,0,0,Jayce,Jarvan IV,Galio,Kai'Sa,Nautilus,1
2,RNG,1,69.7,16,37.26,11,3,0,4,2,Syndra,Jarvan IV,Twisted Fate,Miss Fortune,Rell,0
3,PSG Talon,0,61.6,9,37.26,3,0,1,1,0,Kennen,Lee Sin,Tryndamere,Aphelios,Thresh,1
4,Hanwha Life,1,65.6,25,31.42,9,1,2,3,1,Kennen,Lee Sin,Yasuo,Aphelios,Thresh,0
5,Fnatic,0,50.0,5,31.42,2,0,0,1,1,Sett,Graves,Ryze,Miss Fortune,Braum,1
6,LNG Esports,0,37.0,1,23.42,3,0,0,0,0,Gwen,Lee Sin,Sylas,Aphelios,Rakan,0
7,Gen.G,1,42.9,8,23.42,8,1,0,4,2,Renekton,Xin Zhao,Zoe,Miss Fortune,Leona,1
8,T1,1,46.0,22,19.53,11,3,0,1,2,Graves,Talon,Azir,Jhin,Yuumi,0
9,DetonatioN FM,0,28.8,2,19.53,0,0,0,0,0,Sett,Lillia,Orianna,Ezreal,Leona,1
10,EDward Gaming,1,60.1,19,28.31,9,1,1,3,2,Graves,Lee Sin,LeBlanc,Kai'Sa,Nautilus,0
11,100 Thieves,0,44.6,6,28.31,1,0,0,0,0,Aatrox,Jarvan IV,Zoe,Miss Fortune,Yuumi,1
12,Team Liquid,1,51.0,16,27.08,8,1,1,2,2,Camille,Xin Zhao,LeBlanc,Ezreal,Leona,0
13,MAD Lions,0,44.6,9,27.08,2,0,0,1,0,Jax,Jarvan IV,Twisted Fate,Aphelios,Rell,1
14,Rogue,1,65.0,16,32.34,10,2,1,2,2,Rumble,Qiyana,Twisted Fate,Lucian,Nami,0
15,Cloud9,0,51.8,8,32.34,1,0,0,1,0,Gnar,Xin Zhao,Sylas,Miss Fortune,Yuumi,1
16,T1,0,59.5,4,36.49,3,0,1,0,0,Jayce,Xin Zhao,Twisted Fate,Ziggs,Shen,0
